uf;mes;casos;populacao;incremento;prec;tmax;tmin
11;2007 jan;9385;1549747,000000000;NA;318,36088562011719;30,5938692092896;20,2631072998047
11;2007 fev;6616;1551150,416666667;92,39999999999418;296,29827880859375;30,5463867187500;21,0780439376831
11;2007 mar;6262;1552553,833333333;92,39999999999418;253,95705413818359;30,6631364822388;20,4335813522339
11;2007 abr;8046;1553957,250000000;92,40000000000873;206,21923828125000;30,9213390350342;20,7124519348145
11;2007 mai;5819;1555360,666666667;92,39999999999418;111,87574005126953;29,1895980834961;18,0124816894531
11;2007 jun;6807;1556764,083333333;92,40000000000873;8,72053384780884;31,4358329772949;17,8068447113037
11;2007 jul;9174;1558167,500000000;92,39999999999418;9,49177074432373;32,1577472686768;16,7556142807007
11;2007 ago;8102;1559570,916666667;92,39999999999418;5,91948318481445;32,6835975646973;16,9502143859863
11;2007 set;5385;1560974,333333333;92,40000000000873;33,69217681884766;33,4604015350342;19,4086685180664
11;2007 out;6304;1562377,750000000;92,39999999999418;207,76448059082031;31,9789390563965;19,7814502716064
11;2007 nov;5289;1563781,166666667;92,40000000000873;203,99685668945312;31,7277288436890;20,3548765182495
11;2007 dez;5551;1565184,583333333;92,39999999999418;263,39512634277344;30,1411848068237;19,9171695709229
11;2008 jan;3566;1566588,000000000;92,40000000000873;365,72023010253906;29,8899183273315;20,0511550903320
11;2008 fev;3639;1567945,166666667;36,10000000000582;276,74888610839844;29,7750892639160;20,1655120849609
11;2008 mar;4078;1569302,333333333;36,10000000000582;290,98085021972656;30,1000890731812;20,3202981948853
11;2008 abr;3613;1570659,500000000;36,09999999999127;179,46815490722656;29,9185609817505;19,8706054687500
11;2008 mai;3306;1572016,666666667;36,10000000000582;104,99994659423828;29,5074596405029;17,9134731292725
11;2008 jun;4236;1573373,833333333;36,09999999999127;14,23121356964111;29,7958221435547;15,9364748001099
11;2008 jul;4765;1574731,000000000;36,10000000000582;11,39074754714966;33,1851024627686;17,0261898040771
11;2008 ago;4920;1576088,166666667;36,09999999999127;29,12997627258301;34,2413253784180;18,9997119903564
11;2008 set;4694;1577445,333333333;36,10000000000582;100,95518875122070;31,9907064437866;18,2443113327026
