MUNIAT;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
SAMBAÍBA;[50,55);241,810146018954;35,14845226698;44,8993569830036;80,0478092499836;-9,7509047160236;-0,121813511292635;0,0185680202928641;0,0145355572731944;0,0331035775660585
SAMBAÍBA;[55,60);190,189853981047;10,8344959026365;27,1344819766464;37,9689778792829;-16,2999860740099;-0,429297468207689;0,0142670502178052;0,00569667396858942;0,0199637241863947
SAMBAÍBA;[60,139);567,94137886554;66,8695393559792;13,8920920412602;80,7616313972394;52,977447314719;0,655972971300452;0,00244604329922387;0,0117740213769158;0,0142200646761397
SAMPAIO;[0,5);415,429780526581;66,1519864828045;86,167501198785;152,31948768159;-20,0155147159805;-0,131404819046012;0,0207417727948061;0,0159237468240609;0,036665519618867
SAMPAIO;[5,10);501,000000000007;123,280767353937;171,838558145129;295,119325499066;-48,5577907911924;-0,164536126900799;0,0342991134022209;0,0246069395916038;0,0589060529938248
SAMPAIO;[10,15);543,000000000005;146,640744036397;54,0191367322432;200,65988076864;92,6216073041539;0,461585080930782;0,009948275641297;0,0270056618851558;0,0369539375264527
SAMPAIO;[15,20);409,000000000004;65,1545657075661;85,521864354404;150,67643006197;-20,3672986468379;-0,135172426360654;0,0209099912846952;0,0159302116644415;0,0368402029491366
SAMPAIO;[20,25);315,000000000003;116,27580201053;98,5168634194508;214,792665429981;17,7589385910793;0,0826794460394106;0,0312751947363333;0,0369129530192156;0,0681881477555489
SAMPAIO;[25,30);312,000000000004;101,665189344511;170,607366018687;272,272555363199;-68,9421766741761;-0,253210157675314;0,054681848082912;0,0325849965847789;0,0872668446676908
SAMPAIO;[30,35);284,000000000004;90,7665275063354;48,5353057205813;139,301833226917;42,2312217857541;0,303163431574955;0,0170898963804861;0,0319600448965965;0,0490499412770827
SAMPAIO;[35,40);209,000000000002;85,1941418645624;38,8636858896814;124,057827754244;46,330455974881;0,373458546015014;0,0185950650189861;0,040762747303618;0,0593578123226041
SAMPAIO;[40,45);197,000000000002;46,9159685334075;21,4726070888021;68,3885756222096;25,4433614446054;0,372041107935322;0,0108998005526913;0,0238152124535062;0,0347150130061975
SAMPAIO;[45,50);162,000000000002;49,1764962793204;8,7725077091973;57,9490039885177;40,4039885701231;0,697233529296361;0,00541512821555383;0,0303558619008147;0,0357709901163685
SAMPAIO;[50,55);143,023394597786;42,0093249946639;23,1141357907468;65,1234607854107;18,8951892039171;0,290144119738644;0,0161610873911565;0,0293723450718001;0,0455334324629566
SAMPAIO;[55,60);79,9766054022158;12,5928010218656;6,6271645968602;19,2199656187258;5,9656364250054;0,310387466000103;0,00828637895235872;0,0157456058037651;0,0240319847561238
SAMPAIO;[60,139);293,570219473427;59,4461508561467;37,2905504825059;96,7367013386526;22,1556003736408;0,229029934523808;0,012702429609309;0,0202493805273486;0,0329518101366576
SANDOLÂNDIA;[0,5);281,724615789902;99,866166163008;2,2387785667278;102,104944729736;97,6273875962802;0,956147499562265;0,00079466913476861;0,0354481506285855;0,0362428197633541
